id,display_name,category,glb_path,score,threshold,should_remove,confidence_band,reasons
hl2_weapons_shotgun_shell,Shotgun Shell,weapons,hl2/weapons/shotgun_shell.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
hl2_weapons_v_shotgun,V Shotgun,weapons,hl2/weapons/v_shotgun.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
hl2_weapons_v_shotgun_dx7,V Shotgun Dx7,weapons,hl2/weapons/v_shotgun_dx7.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
hl2_weapons_w_shotgun,W Shotgun,weapons,hl2/weapons/w_shotgun.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_w_models_weapons_w_pumpshotgun_a,W Pumpshotgun,w_models,l4d2/w_models/weapons/w_pumpshotgun_a.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_w_models_weapons_w_shotgun,W Shotgun,w_models,l4d2/w_models/weapons/w_shotgun.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_w_models_weapons_w_shotgun_spas,W Shotgun Spas,w_models,l4d2/w_models/weapons/w_shotgun_spas.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
tf2_props_mall_weapons_static_c_shotgun,C Shotgun,props_mall,tf2/props_mall/weapons_static/c_shotgun.glb,3.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
hl2_weapons_rifleshell,Rifleshell,weapons,hl2/weapons/rifleshell.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
hl2_weapons_v_hands,V Hands,weapons,hl2/weapons/v_hands.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=hands:1.00
hl2_weapons_v_irifle,V Irifle,weapons,hl2/weapons/v_irifle.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
hl2_weapons_v_irifle_dx7,V Irifle Dx7,weapons,hl2/weapons/v_irifle_dx7.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
hl2_weapons_v_pistol,V Pistol,weapons,hl2/weapons/v_pistol.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
hl2_weapons_v_pistol_dx7,V Pistol Dx7,weapons,hl2/weapons/v_pistol_dx7.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
hl2_weapons_w_alyx_gun,W Alyx Gun,weapons,hl2/weapons/w_alyx_gun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
hl2_weapons_w_irifle,W Irifle,weapons,hl2/weapons/w_irifle.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
hl2_weapons_w_pistol,W Pistol,weapons,hl2/weapons/w_pistol.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
l4d2_v_models_v_autoshotgun,V Autoshotgun,v_models,l4d2/v_models/v_autoshotgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_v_models_v_pumpshotgun,V Pumpshotgun,v_models,l4d2/v_models/v_pumpshotgun.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_v_models_v_shotgun_chrome,V Shotgun Chrome,v_models,l4d2/v_models/v_shotgun_chrome.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_v_models_v_shotgun_spas,V Shotgun Spas,v_models,l4d2/v_models/v_shotgun_spas.glb,2.000,1.100,1,high,viewmodel_like:keyword=gun:1.00 | viewmodel_like:keyword=shotgun:1.00
l4d2_w_models_weapons_w_desert_rifle,W Desert Rifle,w_models,l4d2/w_models/weapons/w_desert_rifle.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=rifle:1.00
l4d2_w_models_weapons_w_dual_pistol_1911,W Dual Pistol 1911,w_models,l4d2/w_models/weapons/w_dual_pistol_1911.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
l4d2_w_models_weapons_w_minigun,W Minigun,w_models,l4d2/w_models/weapons/w_minigun.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=gun:1.00
l4d2_w_models_weapons_w_pistol_a,W Pistol,w_models,l4d2/w_models/weapons/w_pistol_a.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
l4d2_w_models_weapons_w_pistol_a_dual,W Pistol A Dual,w_models,l4d2/w_models/weapons/w_pistol_a_dual.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
l4d2_w_models_weapons_w_pistol_b,W Pistol,w_models,l4d2/w_models/weapons/w_pistol_b.glb,2.000,1.100,1,high,viewmodel_like:keyword=weapon:1.00 | viewmodel_like:keyword=pistol:1.00
