id,display_name,kept_personal,added_personal,final_personal,added_corporate,final_corporate,max_personal_score,max_corporate_score
css_items_car_battery01,Car Battery01,mundane personal,,mundane personal,broad_appeal,broad_appeal,0.0000,0.5500
css_items_cs_gift,Cs Gift,mundane personal,warm,mundane personal warm,broad_appeal,broad_appeal,0.4500,0.5500
css_props_lab_binderbluelabel,Binderbluelabel,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_bindergraylabel01a,Bindergraylabel01A,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_bindergreenlabel,Bindergreenlabel,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_binderredlabel,Binderredlabel,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_box01a,Box01A,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_citizenradio,Citizenradio,clinical institutional intimate nostalgic,,clinical institutional intimate nostalgic,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_desklamp01,Desklamp01,clinical comforting domestic institutional intimate mundane,,clinical comforting domestic institutional intimate mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_harddrive02,Harddrive02,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_jar01b,Jar01B,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_lab_flourescentlight001a,Lab Flourescentlight001A,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_lab_flourescentlight002b,Lab Flourescentlight002B,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_monitor02,Monitor02,clinical institutional mundane nostalgic,,clinical institutional mundane nostalgic,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem01a,Pipesystem01A,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem01b,Pipesystem01B,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem02a,Pipesystem02A,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem02b,Pipesystem02B,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem02c,Pipesystem02C,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem02d,Pipesystem02D,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem02e,Pipesystem02E,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem03b,Pipesystem03B,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_pipesystem03c,Pipesystem03C,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox01a,Powerbox01A,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox02a,Powerbox02A,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox02b,Powerbox02B,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox02c,Powerbox02C,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox02d,Powerbox02D,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_powerbox03a,Powerbox03A,abandoned clinical institutional mundane,,abandoned clinical institutional mundane,trend_aligned,trend_aligned,0.0000,0.5500
css_props_lab_reciever_cart,Reciever Cart,clinical institutional,,clinical institutional,trend_aligned,trend_aligned,0.0000,0.5500
dod_items_dod_gift,Dod Gift,mundane personal,,mundane personal,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_bookcase_large,Bookcase Large,comforting domestic nostalgic,,comforting domestic nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_bookcase_small,Bookcase Small,comforting domestic nostalgic,,comforting domestic nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_cabinet_large,Cabinet Large,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_cafe_barstool1,Cafe Barstool1,comforting domestic,,comforting domestic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_ceiling_lantern1_off,Ceiling Lantern1 Off,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_ceiling_lantern1_on,Ceiling Lantern1 On,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_chair1,Chair1,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_chair2,Chair2,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_chairantique,Chairantique,comforting domestic mundane nostalgic,,comforting domestic mundane nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_chairantique_damage_01,Chairantique Damage 01,comforting domestic mundane nostalgic,,comforting domestic mundane nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_chairantique_damage_02,Chairantique Damage 02,comforting domestic mundane nostalgic,,comforting domestic mundane nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_church_pew,Church Pew,comforting domestic,devotional ritualistic sacred,comforting devotional domestic ritualistic sacred,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_couch1,Couch1,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_couch2,Couch2,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_cupboard1,Cupboard1,comforting domestic,,comforting domestic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_desk1,Desk1,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_drawer1,Drawer1,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_drawer2,Drawer2,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_drawer3,Drawer3,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_drawer4,Drawer4,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_dresser1,Dresser1,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_fireplace2,Fireplace2,comforting domestic nostalgic,,comforting domestic nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_heavy_table,Heavy Table,comforting domestic mundane,heavy,comforting domestic heavy mundane,broad_appeal,broad_appeal,0.4500,0.5500
dod_props_furniture_inn_chandelier1,Inn Chandelier1,comforting domestic,,comforting domestic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_inn_frontdesk1,Inn Frontdesk1,comforting domestic mundane,,comforting domestic mundane,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_kitchen_chair,Kitchen Chair,comforting domestic mundane,intimate nostalgic personal,comforting domestic intimate mundane nostalgic personal,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_kitchen_countertop1,Kitchen Countertop1,comforting domestic mundane public retail,intimate nostalgic personal,comforting domestic intimate mundane nostalgic personal public retail,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_kitchen_oven1,Kitchen Oven1,comforting domestic mundane,intimate nostalgic personal,comforting domestic intimate mundane nostalgic personal,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_kitchen_shelf1,Kitchen Shelf1,comforting domestic mundane nostalgic,intimate personal,comforting domestic intimate mundane nostalgic personal,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_kitchen_table,Kitchen Table,comforting domestic mundane,intimate nostalgic personal warm,comforting domestic intimate mundane nostalgic personal warm,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_kitchen_vent1,Kitchen Vent1,comforting domestic mundane,intimate nostalgic personal,comforting domestic intimate mundane nostalgic personal,broad_appeal,broad_appeal,0.5500,0.5500
dod_props_furniture_lamp1,Lamp1,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_lights_overhead,Lights Overhead,comforting domestic,,comforting domestic,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_nightstand_large,Nightstand Large,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_nightstand_small,Nightstand Small,comforting domestic intimate,,comforting domestic intimate,broad_appeal,broad_appeal,0.0000,0.5500
dod_props_furniture_piano,Piano,comforting domestic intimate nostalgic,,comforting domestic intimate nostalgic,broad_appeal,broad_appeal,0.0000,0.5500
