id,display_name,review_reasons,final_personal,final_corporate,max_personal_score,max_corporate_score,balance_trace_personal,balance_trace_corporate
css_items_car_battery01,Car Battery01,low_confidence_personal,mundane personal,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 1, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 1, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_building_details_courtyard_template001c_bars,Courtyard Template001C Bars,low_confidence_personal,mundane personal,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 1, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 2, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_building_details_courtyard_template002c_bars,Courtyard Template002C Bars,low_confidence_personal,mundane personal,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 1, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 2, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_canal_winch02,Winch,low_confidence_personal,abandoned decayed melancholy,niche_depth,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 2, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 3, ""strength"": 0.02, ""natural_picked"": [""niche_depth""], ""balanced_picked"": [""niche_depth""], ""balance_changed_pick"": false}"
css_props_combine_breenbust,Breenbust,low_confidence_personal,institutional threatening,trend_aligned,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 2, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 4, ""strength"": 0.02, ""natural_picked"": [""trend_aligned""], ""balanced_picked"": [""trend_aligned""], ""balance_changed_pick"": false}"
css_props_combine_breenchair,Breenchair,low_confidence_personal,bureaucratic clinical domestic institutional mundane,brand_safe broad_appeal campaign_ready marketable trend_aligned,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 2, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 4, ""strength"": 0.02, ""natural_picked"": [""trend_aligned"", ""marketable""], ""balanced_picked"": [""trend_aligned"", ""marketable""], ""balance_changed_pick"": false}"
css_props_combine_breenclock,Breenclock,low_confidence_personal,institutional mundane personal threatening,trend_aligned,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 3, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 5, ""strength"": 0.02, ""natural_picked"": [""trend_aligned""], ""balanced_picked"": [""trend_aligned""], ""balance_changed_pick"": false}"
css_props_combine_breendesk,Breendesk,low_confidence_personal,domestic institutional mundane threatening,trend_aligned,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 3, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [""trend_aligned""], ""balanced_picked"": [""trend_aligned""], ""balance_changed_pick"": false}"
css_props_combine_breenglobe,Breenglobe,low_confidence_personal,institutional threatening,trend_aligned,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 3, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 6, ""strength"": 0.02, ""natural_picked"": [""trend_aligned""], ""balanced_picked"": [""trend_aligned""], ""balance_changed_pick"": false}"
css_props_cs_assault_barrelwarning,Barrelwarning,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 4, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 7, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_consolepanelloadingbay,Consolepanelloadingbay,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 4, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 7, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_dollar,Dollar,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 4, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 8, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_dryer_box,Dryer Box,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 5, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 9, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
css_props_cs_assault_dryer_box2,Dryer Box2,low_confidence_personal,institutional mundane public,broad_appeal,0.0000,0.5500,"{""dynamic_floor"": 0, ""dynamic_cap"": 5, ""strength"": 0.02, ""natural_picked"": [], ""balanced_picked"": [], ""balance_changed_pick"": false}","{""dynamic_floor"": 0, ""dynamic_cap"": 9, ""strength"": 0.02, ""natural_picked"": [""broad_appeal""], ""balanced_picked"": [""broad_appeal""], ""balance_changed_pick"": false}"
