id,display_name,kept_personal,added_personal,final_personal,kept_corporate,added_corporate,final_corporate,max_personal_score,max_corporate_score,review_reasons,pass_b_applied
css_items_car_battery01,Car Battery01,mundane personal,,mundane personal,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_building_details_courtyard_template001c_bars,Courtyard Template001C Bars,mundane personal,,mundane personal,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_building_details_courtyard_template002c_bars,Courtyard Template002C Bars,mundane personal,,mundane personal,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_canal_winch02,Winch,abandoned decayed melancholy,,abandoned decayed melancholy,niche_depth,,niche_depth,0.0000,0.5500,low_confidence_personal,False
css_props_combine_breenbust,Breenbust,institutional threatening,,institutional threatening,trend_aligned,,trend_aligned,0.0000,0.5500,low_confidence_personal,False
css_props_combine_breenchair,Breenchair,bureaucratic clinical domestic institutional mundane,,bureaucratic clinical domestic institutional mundane,brand_safe broad_appeal campaign_ready marketable,trend_aligned,brand_safe broad_appeal campaign_ready marketable trend_aligned,0.0000,0.5500,low_confidence_personal,False
css_props_combine_breenclock,Breenclock,institutional mundane personal threatening,,institutional mundane personal threatening,trend_aligned,,trend_aligned,0.0000,0.5500,low_confidence_personal,False
css_props_combine_breendesk,Breendesk,domestic institutional mundane threatening,,domestic institutional mundane threatening,trend_aligned,,trend_aligned,0.0000,0.5500,low_confidence_personal,False
css_props_combine_breenglobe,Breenglobe,institutional threatening,,institutional threatening,trend_aligned,,trend_aligned,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_barrelwarning,Barrelwarning,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_consolepanelloadingbay,Consolepanelloadingbay,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_dollar,Dollar,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_dryer_box,Dryer Box,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_dryer_box2,Dryer Box2,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_firehydrant,Firehydrant,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_handtruck,Handtruck,bureaucratic institutional mundane public,,bureaucratic institutional mundane public,brand_safe broad_appeal campaign_ready,,brand_safe broad_appeal campaign_ready,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_money,Money,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
css_props_cs_assault_moneypallet,Moneypallet,institutional mundane public,,institutional mundane public,broad_appeal,,broad_appeal,0.0000,0.5500,low_confidence_personal,False
